sample,stem.length,leaf.count,leaf.density,habitat
1.H2a,2.2,29,13.18,Hypolithic
4.S2,1.2,17,14.17,Surface
3.H4,0.86,11,12.79,Hypolithic
4.S3,1.1,14,12.73,Surface
4.S6,1.4,21,15,Surface
4.S4,0.4,14,35,Surface
4.H1,1.5,28,18.67,Hypolithic
3.S2,0.7,16,22.86,Surface
6.S1,0.67,15,22.39,Surface
6.S2,0.65,12,18.46,Surface
4.H4,4.19,24,5.73,Hypolithic
4.H5a,0.65,22,33.85,Hypolithic
4.H2,1.15,11,9.57,Hypolithic
4.S1,0.29,11,37.93,Surface
3.S4,0.55,10,18.18,Surface
2.S2,1.2,14,11.67,Surface
1.S3,0.3,16,53.33,Surface
6.H1a,3.56,29,8.15,Hypolithic
3.S3,0.85,18,21.18,Surface
7.H1,0.61,11,18.03,Hypolithic
1.S2,0.47,22,46.81,Surface
2.S3,0.6,15,25,Surface
5.S1,0.4,22,55,Surface
7.S2,0.52,9,17.31,Surface
5.H1,0.31,11,35.48,Hypolithic
5.S2,1.05,15,14.29,Surface
3.S1,0.26,16,61.54,Surface
1.S2a,0.29,12,41.38,Surface
8.S1,0.35,18,51.43,Surface
3.S5a,1.08,14,12.96,Surface
2.S1,1.03,21,20.39,Surface
4.S5,0.47,15,31.91,Surface
3.H1a,1.7,16,9.41,Hypolithic
